ensembl_gene_id,sepwes003,sepwes006,sepwes007,sepwes008,sepwes009,sepwes010,sepwes011,sepwes012
ENSG00000049249,6,8,6,7,6,7,6,6
ENSG00000049323,7,6,6,7,4,6,6,6
ENSG00000049449,7,6,6,5,5,5,6,7
ENSG00000049540,4,3,3,3,3,3,3,3
ENSG00000049541,8,8,8,8,7,8,7,8
ENSG00000049618,9,8,9,8,10,9,9,9
ENSG00000049656,9,9,9,10,9,9,9,9
ENSG00000049759,8,7,5,7,5,7,7,6
ENSG00000049768,5,4,6,5,4,4,5,5
ENSG00000049769,5,6,6,5,6,5,6,5
ENSG00000049860,10,9,10,10,8,10,10,10
ENSG00000049883,6,5,6,5,8,6,7,6
ENSG00000050130,9,8,8,9,8,8,8,8
ENSG00000050327,4,5,3,5,4,6,5,4
ENSG00000050344,8,8,7,5,6,5,6,7
ENSG00000050393,7,7,7,7,7,6,7,7
ENSG00000050405,6,6,6,5,6,5,8,7
ENSG00000050426,7,8,8,8,9,8,9,9
ENSG00000050438,5,5,6,4,6,5,6,6
ENSG00000050730,4,5,3,4,4,3,5,4
ENSG00000050748,8,7,8,7,8,8,8,7
ENSG00000051009,8,9,8,10,8,10,8,8
ENSG00000051108,10,9,10,10,11,9,9,9
ENSG00000051128,7,7,6,7,4,6,6,7
ENSG00000051341,4,4,4,5,4,8,4,4
ENSG00000051382,8,9,9,10,8,10,9,8
ENSG00000051523,12,13,11,13,11,12,11,11
ENSG00000051596,6,4,5,6,5,5,6,6
ENSG00000051620,10,10,10,11,9,10,9,9
ENSG00000051825,7,7,7,6,8,8,8,7
ENSG00000052126,4,4,5,4,5,5,6,5
ENSG00000052723,8,8,9,7,9,8,8,8
ENSG00000052749,7,8,7,11,8,10,8,9
ENSG00000052795,8,8,8,6,5,7,7,7
ENSG00000052802,8,7,7,6,9,7,8,7
ENSG00000052841,9,9,9,9,10,9,9,9
ENSG00000053108,4,4,3,7,3,5,3,3
ENSG00000053254,10,9,11,11,10,10,10,10
ENSG00000053371,6,7,6,7,7,7,7,7
